Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Penempatan : Kantor Pusat""]), 10)",Chrome 131.0.0.0,"Verify Text ""Penempatan : Kantor Pusat"" is Present",,17-01-2025 17:18:21,17-01-2025 17:18:22,0.252s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[1]/section[1]/div[1]/button[1]""]))",Chrome 131.0.0.0,"Click ""Back"" Button",,17-01-2025 17:18:22,17-01-2025 17:18:22,0.430s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[5]/div[1]/div[2]/div[2]/div[1]/button[1]""]))",Chrome 131.0.0.0,"Click ""Entry Level"" Button",,17-01-2025 17:18:22,17-01-2025 17:18:34,12.035s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Entry Level""]), 10)",Chrome 131.0.0.0,"Verify Text ""Entry Level"" is Present",,17-01-2025 17:18:34,17-01-2025 17:18:35,0.528s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""BAF memberikan kesempatan untuk talenta muda dapat mengembangkan awal karier mereka melalui posisi staf dan magang. Pada posisi ini BAFers diberikan kesempatan untuk menambah pengalaman dalam dunia kerja, mengasah kemampuan sehingga menjadi pekerja yang berkompeten.""]), 10)",Chrome 131.0.0.0,"Verify Description Text ""Entry Level"" is Present",,17-01-2025 17:18:35,17-01-2025 17:18:35,0.281s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[1]/section[1]/div[1]/button[1]""]))",Chrome 131.0.0.0,"Click ""Back"" Button",,17-01-2025 17:18:35,17-01-2025 17:18:35,0.377s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[5]/div[1]/div[2]/div[3]/div[1]/button[1]""]))",Chrome 131.0.0.0,"Click ""Experienced"" Button",,17-01-2025 17:18:35,17-01-2025 17:18:36,0.575s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Experienced""]), 10)",Chrome 131.0.0.0,"Verify Text ""Experienced"" is Present",,17-01-2025 17:18:36,17-01-2025 17:18:36,0.501s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""BAF mengajak para profesional yang berbakat dan berpengalaman agar bergabung menjadi BAFers dalam berkarier dan berkontribusi melalui pengalaman serta skill yang dimiliki.""]), 10)",Chrome 131.0.0.0,"Verify Description Text ""Experienced"" is Present",,17-01-2025 17:18:36,17-01-2025 17:18:37,0.275s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[1]/section[1]/div[1]/button[1]""]))",Chrome 131.0.0.0,"Click ""Back"" Button",,17-01-2025 17:18:37,17-01-2025 17:18:38,1.291s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[5]/div[1]/section[1]/button[1]""]))",Chrome 131.0.0.0,"Click ""Apply Now"" Button",,17-01-2025 17:18:38,17-01-2025 17:18:52,14.502s,PASSED
"verifyLinksAccessible([""https://id.jobstreet.com/jobs?cid=company-profile&companyid=443452""])",Chrome 131.0.0.0,Verify Link Accessibility,,17-01-2025 17:18:52,17-01-2025 17:18:55,3.088s,PASSED
Start listener action : AfterTestCase,Chrome 131.0.0.0,,,17-01-2025 17:18:55,17-01-2025 17:18:55,0.000s,PASSED
